state,year,week,incidence
Kedah,2015,39,2
Kedah,2015,40,8
Kedah,2015,41,3
Kedah,2015,42,3
Kedah,2015,43,3
Kedah,2015,44,6
Kedah,2015,45,6
Kedah,2015,46,6
Kedah,2015,47,4
Kedah,2015,48,8
Kedah,2015,49,6
Kedah,2015,50,8
Kedah,2015,51,8
Kedah,2015,52,5
Kedah,2016,1,7
Kedah,2016,2,6
Kedah,2016,3,4
Kedah,2016,4,4
Kedah,2016,5,14
Kedah,2016,6,1
Kedah,2016,7,6
Kedah,2016,8,5
Kedah,2016,9,5
Kedah,2016,10,9
Kedah,2016,11,5
Kedah,2016,12,4
Kedah,2016,13,8
Kedah,2016,14,8
Kedah,2016,15,8
Kedah,2016,16,8
Kedah,2016,17,17
Kedah,2016,18,18
Kedah,2016,19,20
Kedah,2016,20,27
Kedah,2016,21,11
Kedah,2016,22,41
Kedah,2016,23,34
Kedah,2016,24,47
Kedah,2016,25,38
Kedah,2016,26,44
Kedah,2016,27,26
Kedah,2016,28,26
Kedah,2016,29,58
Kedah,2016,30,39
Kedah,2016,31,98
Kedah,2016,32,89
Kedah,2016,33,93
Kedah,2016,34,97
Kedah,2016,35,62
Kedah,2016,36,81
Kedah,2016,37,30
Kedah,2016,38,66
Kedah,2016,39,59
Kedah,2016,40,45
Kedah,2016,41,49
Kedah,2016,42,50
Kedah,2016,43,52
Kedah,2016,44,35
Kedah,2016,45,31
Kedah,2016,46,46
Kedah,2016,47,44
Kedah,2016,48,29
Kedah,2016,49,38
Kedah,2016,50,23
Kedah,2016,51,29
Kedah,2016,52,22
Kedah,2017,1,32
Kedah,2017,2,40
Kedah,2017,3,28
Kedah,2017,4,58
Kedah,2017,5,38
Kedah,2017,6,36
Kedah,2017,7,37
Kedah,2017,8,26
Kedah,2017,9,30
Kedah,2017,10,27
Kedah,2017,11,18
Kedah,2017,12,8
Kedah,2017,13,19
Kedah,2017,14,23
Kedah,2017,15,22
Kedah,2017,16,26
Kedah,2017,17,18
Kedah,2017,18,15
Kedah,2017,19,11
Kedah,2017,20,18
Kedah,2017,21,19
Kedah,2017,22,14
Kedah,2017,23,16
Kedah,2017,24,16
Kedah,2017,25,12
Kedah,2017,26,8
Kedah,2017,27,15
Kedah,2017,28,18
Kedah,2017,29,16
Kedah,2017,30,13
Kedah,2017,31,27
Kedah,2017,32,17
Kedah,2017,33,19
Kedah,2017,34,21
Kedah,2017,35,9
Kedah,2017,36,9
Kedah,2017,37,6
Kedah,2017,38,18
Kedah,2017,39,12
Kedah,2017,40,9
Kedah,2017,41,18
Kedah,2017,42,4
Kedah,2017,43,17
Kedah,2017,44,15
Kedah,2017,45,11
Kedah,2017,46,15
Kedah,2017,47,8
Kedah,2017,48,7
Kedah,2017,49,10
Kedah,2017,50,11
Kedah,2017,51,17
Kedah,2017,52,9
Kelantan,2010,1,0
Kelantan,2010,2,6
Kelantan,2010,3,1
Kelantan,2010,4,0
Kelantan,2010,5,0
Kelantan,2010,6,7
Kelantan,2010,7,3
Kelantan,2010,8,2
Kelantan,2010,9,2
Kelantan,2010,10,1
Kelantan,2010,11,1
Kelantan,2010,12,2
Kelantan,2010,13,2
Kelantan,2010,14,1
Kelantan,2010,15,1
Kelantan,2010,16,6
Kelantan,2010,17,1
Kelantan,2010,18,4
Kelantan,2010,19,3
Kelantan,2010,20,4
Kelantan,2010,21,3
Kelantan,2010,22,5
Kelantan,2010,23,11
Kelantan,2010,24,3
Kelantan,2010,25,3
Kelantan,2010,26,7
Kelantan,2010,27,3
Kelantan,2010,28,4
Kelantan,2010,29,7
Kelantan,2010,30,2
Kelantan,2010,31,5
Kelantan,2010,32,8
Kelantan,2010,33,13
Kelantan,2010,34,4
Kelantan,2010,35,4
Kelantan,2010,36,3
Kelantan,2010,37,0
Kelantan,2010,38,3
Kelantan,2010,39,4
Kelantan,2010,40,0
Kelantan,2010,41,2
Kelantan,2010,42,2
Kelantan,2010,43,4
Kelantan,2010,44,4
Kelantan,2010,45,1
Kelantan,2010,46,0
Kelantan,2010,47,7
Kelantan,2010,48,1
Kelantan,2010,49,1
Kelantan,2010,50,5
Kelantan,2010,51,1
Kelantan,2010,52,0
Kelantan,2011,1,0
Kelantan,2011,2,0
Kelantan,2011,3,1
Kelantan,2011,4,1
Kelantan,2011,5,1
Kelantan,2011,6,0
Kelantan,2011,7,0
Kelantan,2011,8,4
Kelantan,2011,9,4
Kelantan,2011,10,0
Kelantan,2011,11,0
Kelantan,2011,12,0
Kelantan,2011,13,1
Kelantan,2011,14,1
Kelantan,2011,15,1
Kelantan,2011,16,0
Kelantan,2011,17,2
Kelantan,2011,18,0
Kelantan,2011,19,0
Kelantan,2011,20,0
Kelantan,2011,21,0
Kelantan,2011,22,0
Kelantan,2011,23,1
Kelantan,2011,24,1
Kelantan,2011,25,0
Kelantan,2011,26,1
Kelantan,2011,27,1
Kelantan,2011,28,0
Kelantan,2011,29,1
Kelantan,2011,30,0
Kelantan,2011,31,0
Kelantan,2011,32,0
Kelantan,2011,33,1
Kelantan,2011,34,1
Kelantan,2011,35,0
Kelantan,2011,36,1
Kelantan,2011,37,0
Kelantan,2011,38,4
Kelantan,2011,39,1
Kelantan,2011,40,3
Kelantan,2011,41,2
Kelantan,2011,42,0
Kelantan,2011,43,2
Kelantan,2011,44,4
Kelantan,2011,45,3
Kelantan,2011,46,4
Kelantan,2011,47,12
Kelantan,2011,48,11
Kelantan,2011,49,12
Kelantan,2011,50,11
Kelantan,2011,51,7
Kelantan,2011,52,12
Kelantan,2012,1,1
Kelantan,2012,2,5
Kelantan,2012,3,16
Kelantan,2012,4,9
Kelantan,2012,5,16
Kelantan,2012,6,26
Kelantan,2012,7,35
Kelantan,2012,8,41
Kelantan,2012,9,41
Kelantan,2012,10,85
Kelantan,2012,11,109
