state,year,week,incidence
Labuan,2015,25,1
Labuan,2015,26,0
Labuan,2015,27,2
Labuan,2015,28,1
Labuan,2015,29,0
Labuan,2015,30,0
Labuan,2015,31,6
Labuan,2015,32,2
Labuan,2015,33,0
Labuan,2015,34,3
Labuan,2015,35,1
Labuan,2015,36,4
Labuan,2015,37,5
Labuan,2015,38,0
Labuan,2015,39,1
Labuan,2015,40,0
Labuan,2015,41,9
Labuan,2015,42,2
Labuan,2015,43,0
Labuan,2015,44,5
Labuan,2015,45,3
Labuan,2015,46,7
Labuan,2015,47,2
Labuan,2015,48,2
Labuan,2015,49,2
Labuan,2015,50,6
Labuan,2015,51,0
Labuan,2015,52,2
Labuan,2016,1,2
Labuan,2016,2,2
Labuan,2016,3,0
Labuan,2016,4,5
Labuan,2016,5,4
Labuan,2016,6,0
Labuan,2016,7,4
Labuan,2016,8,0
Labuan,2016,9,2
Labuan,2016,10,0
Labuan,2016,11,1
Labuan,2016,12,6
Labuan,2016,13,2
Labuan,2016,14,4
Labuan,2016,15,7
Labuan,2016,16,0
Labuan,2016,17,0
Labuan,2016,18,8
Labuan,2016,19,0
Labuan,2016,20,1
Labuan,2016,21,6
Labuan,2016,22,0
Labuan,2016,23,4
Labuan,2016,24,0
Labuan,2016,25,0
Labuan,2016,26,5
Labuan,2016,27,0
Labuan,2016,28,1
Labuan,2016,29,4
Labuan,2016,30,0
Labuan,2016,31,1
Labuan,2016,32,4
Labuan,2016,33,2
Labuan,2016,34,5
Labuan,2016,35,0
Labuan,2016,36,5
Labuan,2016,37,4
Labuan,2016,38,4
Labuan,2016,39,2
Labuan,2016,40,4
Labuan,2016,41,0
Labuan,2016,42,6
Labuan,2016,43,4
Labuan,2016,44,5
Labuan,2016,45,0
Labuan,2016,46,0
Labuan,2016,47,7
Labuan,2016,48,4
Labuan,2016,49,2
Labuan,2016,50,0
Labuan,2016,51,4
Labuan,2016,52,2
Labuan,2017,1,0
Labuan,2017,2,4
Labuan,2017,3,3
Labuan,2017,4,3
Labuan,2017,5,0
Labuan,2017,6,6
Labuan,2017,7,1
Labuan,2017,8,2
Labuan,2017,9,5
Labuan,2017,10,1
Labuan,2017,11,2
Labuan,2017,12,0
Labuan,2017,13,0
Labuan,2017,14,0
Labuan,2017,15,7
Labuan,2017,16,7
Labuan,2017,17,0
Labuan,2017,18,5
Labuan,2017,19,3
Labuan,2017,20,0
